Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
1931;Opus;2017-08-29;2017-08-30;2018-02-25;2018-02-26;2018-08-29;2018-08-30
2929;Truegame;2018-07-18;2018-07-19;2019-01-14;2019-01-15;2019-07-18;2019-07-19
4642;Hedera Hashgraph;2019-09-17;2019-09-18;2020-03-15;2020-03-16;2020-09-16;2020-09-17
3840;1irstcoin;2019-04-08;2019-04-09;2019-10-05;2019-10-06;2020-04-07;2020-04-08
3936;GNY IO;2019-05-14;2019-05-15;2019-11-10;2019-11-11;2020-05-13;2020-05-14
1967;Indorse;2017-09-19;2017-09-20;2018-03-18;2018-03-19;2018-09-19;2018-09-20
3764;Save Environment Token;2019-02-26;2019-02-27;2019-08-25;2019-08-26;2020-02-26;2020-02-27
3814;Celer Network;2019-03-25;2019-03-26;2019-09-21;2019-09-22;2020-03-24;2020-03-25
1947;Monetha;2017-09-06;2017-09-07;2018-03-05;2018-03-06;2018-09-06;2018-09-07
4846;KAVA;2019-10-25;2019-10-26;2020-04-22;2020-04-23;2020-10-24;2020-10-25
2291;Genaro;2017-12-18;2017-12-19;2018-06-16;2018-06-17;2018-12-18;2018-12-19
1949;Agrello;2017-09-09;2017-09-10;2018-03-08;2018-03-09;2018-09-09;2018-09-10
4119;VinDAX;2019-07-17;2019-07-18;2020-01-13;2020-01-14;2020-07-16;2020-07-17
4250;Zeux;2019-08-14;2019-08-15;2020-02-10;2020-02-11;2020-08-13;2020-08-14
2346;WaykiChain;2018-01-09;2018-01-10;2018-07-08;2018-07-09;2019-01-09;2019-01-10
6933;nuco.cloud;2020-09-08;2020-09-09;2021-03-07;2021-03-08;2021-09-08;2021-09-09
1085;Swing;2015-09-28;2015-09-29;2016-03-26;2016-03-27;2016-09-27;2016-09-28
2503;DMarket;2018-02-03;2018-02-04;2018-08-02;2018-08-03;2019-02-03;2019-02-04
2501;Adbank;2018-02-03;2018-02-04;2018-08-02;2018-08-03;2019-02-03;2019-02-04
2309;SophiaTX;2017-12-26;2017-12-27;2018-06-24;2018-06-25;2018-12-26;2018-12-27
2576;TOKENOMY;2018-03-10;2018-03-11;2018-09-06;2018-09-07;2019-03-10;2019-03-11
5168;Bitcoin Classic;2020-02-10;2020-02-11;2020-08-08;2020-08-09;2021-02-09;2021-02-10
1229;DigixDAO;2016-04-18;2016-04-19;2016-10-15;2016-10-16;2017-04-18;2017-04-19
2949;Kryll.io;2018-07-19;2018-07-20;2019-01-15;2019-01-16;2019-07-19;2019-07-20
4679;Band Protocol;2019-09-18;2019-09-19;2020-03-16;2020-03-17;2020-09-17;2020-09-18
6180;SUKU;2020-08-04;2020-08-05;2021-01-31;2021-02-01;2021-08-04;2021-08-05
3327;SIX.Network;2018-09-21;2018-09-22;2019-03-20;2019-03-21;2019-09-21;2019-09-22
3138;Noku;2018-08-10;2018-08-11;2019-02-06;2019-02-07;2019-08-10;2019-08-11
3953;Evedo;2019-05-21;2019-05-22;2019-11-17;2019-11-18;2020-05-20;2020-05-21
2578;TE-FOOD;2018-03-10;2018-03-11;2018-09-06;2018-09-07;2019-03-10;2019-03-11
2474;Matrix;2018-01-27;2018-01-28;2018-07-26;2018-07-27;2019-01-27;2019-01-28
4293;Perlin;2019-08-26;2019-08-27;2020-02-22;2020-02-23;2020-08-25;2020-08-26
2303;MediBloc;2017-12-22;2017-12-23;2018-06-20;2018-06-21;2018-12-22;2018-12-23
5509;AAX Token;2020-04-24;2020-04-25;2020-10-21;2020-10-22;2021-04-24;2021-04-25
1721;Mysterium;2017-06-14;2017-06-15;2017-12-11;2017-12-12;2018-06-14;2018-06-15
6500;ThreeFold Network;2020-08-10;2020-08-11;2021-02-06;2021-02-07;2021-08-10;2021-08-11
2505;Bluzelle;2018-02-06;2018-02-07;2018-08-05;2018-08-06;2019-02-06;2019-02-07
2570;Tomocoin;2018-03-08;2018-03-09;2018-09-04;2018-09-05;2019-03-08;2019-03-09
2727;Bezant;2018-05-11;2018-05-12;2018-11-07;2018-11-08;2019-05-11;2019-05-12
2556;CREDITS;2018-03-03;2018-03-04;2018-08-30;2018-08-31;2019-03-03;2019-03-04
2444;Crypto20;2018-01-22;2018-01-23;2018-07-21;2018-07-22;2019-01-22;2019-01-23
2686;Lendingblock;2018-05-01;2018-05-02;2018-10-28;2018-10-29;2019-05-01;2019-05-02
2467;OriginTrail;2018-01-25;2018-01-26;2018-07-24;2018-07-25;2019-01-25;2019-01-26
2873;Metronome;2018-06-26;2018-06-27;2018-12-23;2018-12-24;2019-06-26;2019-06-27
4299;ToKoin;2019-08-28;2019-08-29;2020-02-24;2020-02-25;2020-08-27;2020-08-28
2546;REMME;2018-02-26;2018-02-27;2018-08-25;2018-08-26;2019-02-26;2019-02-27
2638;Cortex;2018-04-16;2018-04-17;2018-10-13;2018-10-14;2019-04-16;2019-04-17
2759;Patron;2018-05-22;2018-05-23;2018-11-18;2018-11-19;2019-05-22;2019-05-23
3156;Airbloc;2018-08-13;2018-08-14;2019-02-09;2019-02-10;2019-08-13;2019-08-14
2481;Zeepin;2018-01-30;2018-01-31;2018-07-29;2018-07-30;2019-01-30;2019-01-31
2070;DomRaider;2017-10-19;2017-10-20;2018-04-17;2018-04-18;2018-10-19;2018-10-20
2544;Nucleus;2018-02-26;2018-02-27;2018-08-25;2018-08-26;2019-02-26;2019-02-27
2507;TheKEY;2018-02-07;2018-02-08;2018-08-06;2018-08-07;2019-02-07;2019-02-08
2584;Debitum Network;2018-03-13;2018-03-14;2018-09-09;2018-09-10;2019-03-13;2019-03-14
2571;GRAFT Blockchain;2018-03-09;2018-03-10;2018-09-05;2018-09-06;2019-03-09;2019-03-10
5200;Gleec Coin;2020-02-04;2020-02-05;2020-08-02;2020-08-03;2021-02-03;2021-02-04
7247;TIMERS;2020-10-10;2020-10-11;2021-04-08;2021-04-09;2021-10-10;2021-10-11
2492;Elastos;2018-02-01;2018-02-02;2018-07-31;2018-08-01;2019-02-01;2019-02-02
2288;WorldCore;2017-12-18;2017-12-19;2018-06-16;2018-06-17;2018-12-18;2018-12-19
